Time	Channel B
(s)	(V)

0.00000000	-1.05121500
0.00020000	-1.05121500
0.00040000	-1.05115400
0.00060000	-1.05091000
0.00080000	-1.05060400
0.00100000	-1.05029900
0.00120000	-1.05005500
0.00140000	-1.04993300
0.00160000	-1.04987200
0.00180000	-1.04993300
0.00200000	-1.05005500
0.00220000	-1.05023800
0.00240000	-1.05042100
0.00260000	-1.05060400
0.00280000	-1.05078700
0.00300000	-1.05097100
0.00320000	-1.05115400
0.00340000	-1.05121500
0.00360000	-1.05115400
0.00380000	-1.05109300
0.00400000	-1.05103200
0.00420000	-1.05115400
0.00440000	-1.05133700
0.00460000	-1.05158100
0.00480000	-1.05182500
0.00500000	-1.05194700
0.00520000	-1.05194700
0.00540000	-1.05188600
0.00560000	-1.05170300
0.00580000	-1.05158100
0.00600000	-1.05145900
0.00620000	-1.05133700
0.00640000	-1.05133700
0.00660000	-1.05145900
0.00680000	-1.05164200
0.00700000	-1.05194700
0.00720000	-1.05219100
0.00740000	-1.05237500
0.00760000	-1.05237500
0.00780000	-1.05213000
0.00800000	-1.05182500
0.00820000	-1.05139800
0.00840000	-1.05109300
0.00860000	-1.05091000
0.00880000	-1.05091000
0.00900000	-1.05103200
0.00920000	-1.05109300
0.00940000	-1.05109300
0.00960000	-1.05109300
0.00980000	-1.05109300
0.01000000	-1.05097100
0.01020000	-1.05097100
0.01040000	-1.05091000
0.01060000	-1.05084800
0.01080000	-1.05072600
0.01100000	-1.05060400
0.01120000	-1.05048200
0.01140000	-1.05042100
0.01160000	-1.05048200
0.01180000	-1.05072600
0.01200000	-1.05115400
0.01220000	-1.05164200
0.01240000	-1.05219100
0.01260000	-1.05268000
0.01280000	-1.05286300
0.01300000	-1.05292400
0.01320000	-1.05286300
0.01340000	-1.05274100
0.01360000	-1.05261900
0.01380000	-1.05255800
0.01400000	-1.05255800
0.01420000	-1.05274100
0.01440000	-1.05292400
0.01460000	-1.05310700
0.01480000	-1.05335100
0.01500000	-1.05347300
0.01520000	-1.05359500
0.01540000	-1.05359500
0.01560000	-1.05353400
0.01580000	-1.05347300
0.01600000	-1.05329000
0.01620000	-1.05310700
0.01640000	-1.05280200
0.01660000	-1.05261900
0.01680000	-1.05249700
0.01700000	-1.05243600
0.01720000	-1.05249700
0.01740000	-1.05255800
0.01760000	-1.05261900
0.01780000	-1.05261900
0.01800000	-1.05261900
0.01820000	-1.05261900
0.01840000	-1.05261900
0.01860000	-1.05268000
0.01880000	-1.05268000
0.01900000	-1.05268000
0.01920000	-1.05268000
0.01940000	-1.05268000
0.01960000	-1.05274100
0.01980000	-1.05286300
0.02000000	-1.05292400
0.02020000	-1.05310700
0.02040000	-1.05316800
0.02060000	-1.05316800
0.02080000	-1.05310700
0.02100000	-1.05292400
0.02120000	-1.05268000
0.02140000	-1.05237500
0.02160000	-1.05213000
0.02180000	-1.05194700
0.02200000	-1.05182500
0.02220000	-1.05182500
0.02240000	-1.05188600
0.02260000	-1.05200800
0.02280000	-1.05213000
0.02300000	-1.05231400
0.02320000	-1.05255800
0.02340000	-1.05280200
0.02360000	-1.05310700
0.02380000	-1.05335100
0.02400000	-1.05359500
0.02420000	-1.05365600
0.02440000	-1.05371700
0.02460000	-1.05377900
0.02480000	-1.05384000
0.02500000	-1.05384000
0.02520000	-1.05390100
0.02540000	-1.05384000
0.02560000	-1.05371700
0.02580000	-1.05359500
0.02600000	-1.05347300
0.02620000	-1.05335100
0.02640000	-1.05335100
0.02660000	-1.05329000
0.02680000	-1.05329000
0.02700000	-1.05335100
0.02720000	-1.05335100
0.02740000	-1.05341200
0.02760000	-1.05347300
0.02780000	-1.05353400
0.02800000	-1.05365600
0.02820000	-1.05371700
0.02840000	-1.05377900
0.02860000	-1.05402300
0.02880000	-1.05432800
0.02900000	-1.05469400
0.02920000	-1.05493800
0.02940000	-1.05499900
0.02960000	-1.05493800
0.02980000	-1.05469400
0.03000000	-1.05445000
0.03020000	-1.05432800
0.03040000	-1.05420600
0.03060000	-1.05408400
0.03080000	-1.05396200
0.03100000	-1.05384000
0.03120000	-1.05377900
0.03140000	-1.05377900
0.03160000	-1.05377900
0.03180000	-1.05384000
0.03200000	-1.05384000
0.03220000	-1.05377900
0.03240000	-1.05365600
